Counter({1: 283, 0: 188, 2: 67})
 54/300 trn-loss-MF: 0.2154  trn-loss-MF: 0.2154 trn-loss-MF: 0.2154 trn-auc: 0.9585  acc: 0.9294 val-auc: 0.8887  acc: 0.8833
 55/300 trn-loss-MF: 0.2095  trn-loss-MF: 0.2095 trn-loss-MF: 0.2095 trn-auc: 0.9704  acc: 0.9517 val-auc: 0.8898  acc: 0.8833
 56/300 trn-loss-MF: 0.1865  trn-loss-MF: 0.1865 trn-loss-MF: 0.1865 trn-auc: 0.9811  acc: 0.9703 val-auc: 0.8814  acc: 0.8667
 57/300 trn-loss-MF: 0.1740  trn-loss-MF: 0.1740 trn-loss-MF: 0.1740 trn-auc: 0.9749  acc: 0.9572 val-auc: 0.8792  acc: 0.8667
 58/300 trn-loss-MF: 0.1610  trn-loss-MF: 0.1610 trn-loss-MF: 0.1610 trn-auc: 0.9751  acc: 0.9572 val-auc: 0.8697  acc: 0.8500
 59/300 trn-loss-MF: 0.1549  trn-loss-MF: 0.1549 trn-loss-MF: 0.1549 trn-auc: 0.9903  acc: 0.9833 val-auc: 0.8697  acc: 0.8500
 60/300 trn-loss-MF: 0.1297  trn-loss-MF: 0.1297 trn-loss-MF: 0.1297 trn-auc: 0.9923  acc: 0.9888 val-auc: 0.8748  acc: 0.8667
 61/300 trn-loss-MF: 0.1150  trn-loss-MF: 0.1150 trn-loss-MF: 0.1150 trn-auc: 0.9895  acc: 0.9814 val-auc: 0.8981  acc: 0.9000
 62/300 trn-loss-MF: 0.1056  trn-loss-MF: 0.1056 trn-loss-MF: 0.1056 trn-auc: 0.9937  acc: 0.9907 val-auc: 0.8981  acc: 0.9000
 63/300 trn-loss-MF: 0.0928  trn-loss-MF: 0.0928 trn-loss-MF: 0.0928 trn-auc: 0.9879  acc: 0.9814 val-auc: 0.8887  acc: 0.8833
 64/300 trn-loss-MF: 0.0999  trn-loss-MF: 0.0999 trn-loss-MF: 0.0999 trn-auc: 0.9517  acc: 0.9331 val-auc: 0.8715  acc: 0.8667
 65/300 trn-loss-MF: 0.1717  trn-loss-MF: 0.1717 trn-loss-MF: 0.1717 trn-auc: 0.9096  acc: 0.8494 val-auc: 0.8653  acc: 0.8500
 66/300 trn-loss-MF: 0.3244  trn-loss-MF: 0.3244 trn-loss-MF: 0.3244 trn-auc: 0.9153  acc: 0.8513 val-auc: 0.8733  acc: 0.8167
 67/300 trn-loss-MF: 0.2690  trn-loss-MF: 0.2690 trn-loss-MF: 0.2690 trn-auc: 0.8541  acc: 0.8067 val-auc: 0.7279  acc: 0.7000
 68/300 trn-loss-MF: 0.4673  trn-loss-MF: 0.4673 trn-loss-MF: 0.4673 trn-auc: 0.8597  acc: 0.7565 val-auc: 0.7535  acc: 0.6333
